Email,Square_footage,Home_type,Cool_setting,Heat_setting,Zip_code
aacey@rundofase.com,1163,apartment,72,,95335
aacuff@rantouch.com,1138,townhome,75,74,25420
aalbares@cancity.com,237,mobile home,,67,81019
aamyot@ontomedia.com,479,apartment,73,74,47169
aaquas@bioholding.com,777,house,,69,4637
aarceo@fasehatice.com,1852,apartment,,71,92258
aarceo@zoomit.com,1244,house,76,69,73056
aaredondo@plexzap.com,433,mobile home,70,,96110
aarias@goodsilron.com,871,house,75,72,49325
aarias@singletechno.com,921,apartment,74,75,92869
aasar@fasehatice.com,1775,apartment,73,71,2670
aauber@cancity.com,1565,house,,72,48859
aauffrey@golddex.com,790,townhome,71,69,74871
aauffrey@kinnamplus.com,461,house,75,69,75138
aauffrey@rundofase.com,1036,apartment,71,71,99330
abachman@yearin.com,406,townhome,72,74,78474
abarfield@dambase.com,835,apartment,74,72,71050
abarfield@finjob.com,2309,house,74,69,43733
abatman@toughzap.com,91,townhome,69,69,62321
abayless@faxquote.com,934,apartment,74,74,66434
abeech@donware.com,1317,townhome,,78,74462
abennick@labdrill.com,1012,apartment,,68,31321
aberlanga@statholdings.com,1386,house,,,14639
aberray@scottech.com,1549,house,72,,92368
abevelacqua@zencorporation.com,738,apartment,71,72,93202
abiddy@bioholding.com,1038,apartment,72,66,79938
abilden@labdrill.com,2199,house,73,70,20142
abilden@xx-holding.com,483,condominium,76,73,92416
abirkner@ron-tech.com,850,townhome,74,73,91202
ablackwood@codehow.com,1272,condominium,,73,47921
aboord@dambase.com,458,apartment,73,75,29150
aboord@y-corporation.com,1067,apartment,71,78,88525
aborgman@konex.com,816,apartment,74,69,79966
abourbon@fasehatice.com,688,townhome,72,69,10096
abowley@zoomit.com,740,apartment,,74,92271
abrachle@finjob.com,1726,townhome,72,,32561
abrachle@konmatfix.com,425,apartment,75,73,97841
abrideau@streethex.com,2259,house,76,,44683
abrossart@faxquote.com,233,house,71,73,36769
abrucato@plussunin.com,1610,house,70,,74136
abruschke@dambase.com,675,house,75,,30047
abruschke@plusstrip.com,2909,condominium,,77,85306
abutzen@statholdings.com,1493,condominium,75,71,42337
abuvens@plusstrip.com,997,house,72,,71486
acaiafa@nam-zim.com,2417,house,69,72,13308
acaldarera@cancity.com,1344,townhome,73,,6853
acalvaresi@nam-zim.com,3067,house,71,71,26338
acalvaresi@ontomedia.com,1554,condominium,73,,55127
acanlas@xx-zobam.com,759,house,70,73,93130
acantres@dontechi.com,2190,condominium,72,65,5466
acantres@sonron.com,1131,apartment,70,74,25431
acentini@groovestreet.com,162,mobile home,74,73,15960
achaffins@openlane.com,489,townhome,74,,11719
achavous@groovestreet.com,1018,apartment,74,73,15380
achavous@xx-holding.com,835,townhome,72,73,30410
achesterfield@newex.com,566,condominium,,73,64658
achickering@rundofase.com,1355,townhome,,,52047
aclaucherty@toughzap.com,556,apartment,,73,65062
acloney@cancity.com,756,townhome,72,71,17047
acolla@zathunicon.com,784,house,,73,67344
acoody@bioplex.com,494,mobile home,69,71,53449
acoody@finjob.com,456,mobile home,72,71,32762
acoody@sumace.com,113,house,72,75,30019
acork@doncon.com,1285,apartment,72,74,38055
