Email,Power_order_num,Generation_type,Battery_storage,Avg_kwh
aacey@rundofase.com,1,solar-electric,,188
aacuff@rantouch.com,1,solar-electric,47,84
aamyot@ontomedia.com,1,solar-electric,29,21
aarceo@zoomit.com,1,solar-electric,18,15
aarias@singletechno.com,1,solar-electric,55,58
abarfield@dambase.com,1,solar-electric,13,49
abarfield@finjob.com,1,solar-electric,,95
abayless@faxquote.com,1,solar-electric,,36
abennick@labdrill.com,1,solar-electric,33,46
aberlanga@statholdings.com,1,solar-electric,17,56
aberlanga@statholdings.com,2,solar-electric,27,69
aberray@scottech.com,1,solar-electric,,99
abevelacqua@zencorporation.com,1,solar-electric,38,33
abiddy@bioholding.com,1,solar-electric,27,125
abilden@xx-holding.com,1,solar-electric,26,92
abilden@xx-holding.com,2,wind,15,95
abirkner@ron-tech.com,1,solar-electric,20,67
aboord@y-corporation.com,1,solar-electric,,28
aborgman@konex.com,1,solar-electric,,154
abourbon@fasehatice.com,1,solar-electric,,34
abourbon@fasehatice.com,2,solar-electric,24,69
abrachle@finjob.com,1,solar-electric,87,17
abrachle@konmatfix.com,1,solar-electric,25,103
abrucato@plussunin.com,1,solar-electric,10,70
abruschke@plusstrip.com,1,solar-electric,19,123
acaiafa@nam-zim.com,1,solar-electric,,15
acalvaresi@nam-zim.com,1,solar-electric,41,19
acanlas@xx-zobam.com,1,solar-electric,20,52
acantres@dontechi.com,1,solar-electric,46,24
acantres@sonron.com,1,solar-electric,,80
achavous@groovestreet.com,1,solar-electric,17,47
aclaucherty@toughzap.com,1,solar-electric,15,77
acolla@zathunicon.com,1,solar-electric,29,34
acoody@finjob.com,1,solar-electric,,37
acoyier@y-corporation.com,1,solar-electric,55,15
adallen@finjob.com,1,solar-electric,,92
adegonia@bioholding.com,1,solar-electric,,98
adegonia@bioholding.com,2,solar-electric,12,115
adegonia@zathunicon.com,1,solar-electric,17,19
adegroot@isdom.com,1,solar-electric,36,65
ademesa@bioholding.com,1,wind,,42
ademesa@zoomit.com,1,solar-electric,25,83
ademesa@zoomit.com,2,solar-electric,,84
adhamer@xx-holding.com,1,solar-electric,49,22
adiscipio@warephase.com,1,solar-electric,,35
adopico@scottech.com,1,solar-electric,,59
aeanes@scottech.com,1,solar-electric,88,117
aehmann@mathtouch.com,1,solar-electric,,104
aengelberg@dontechi.com,1,solar-electric,22,115
aengelberg@scottech.com,1,wind,56,77
aestell@ganjaflex.com,1,solar-electric,,78
afarrar@kan-code.com,1,solar-electric,44,76
afarrow@isdom.com,1,solar-electric,42,86
afarrow@streethex.com,1,solar-electric,,16
afelger@betatech.com,1,wind,29,96
afoller@gogozoom.com,1,solar-electric,,63
afortino@openlane.com,1,solar-electric,,67
afortino@openlane.com,2,wind,11,97
afrey@treequote.com,1,solar-electric,22,19
agabisi@ganjaflex.com,1,solar-electric,21,20
agato@ontomedia.com,1,solar-electric,19,108
agesick@rantouch.com,1,solar-electric,11,17
agillaspie@finhigh.com,1,solar-electric,91,121
agleich@finjob.com,1,solar-electric,17,108
aglick@treequote.com,1,solar-electric,109,93
agotter@isdom.com,1,solar-electric,10,92
agudroe@sunnamplex.com,1,solar-electric,18,20
ahalsey@plussunin.com,1,solar-electric,71,127
ahalter@sunnamplex.com,1,solar-electric,36,73
ahamilton@cancity.com,1,solar-electric,,141
aharnos@bioholding.com,1,solar-electric,36,16
aharnos@bioholding.com,2,solar-electric,35,121
aheintzman@donware.com,1,solar-electric,10,94
aheintzman@donware.com,2,solar-electric,15,18
ahengel@groovestreet.com,1,solar-electric,,79
ahochard@hottechi.com,1,solar-electric,32,35
ahoffis@kan-code.com,1,solar-electric,15,69
ahusser@toughzap.com,1,solar-electric,12,22
aisenhower@doncon.com,1,wind,13,27
aisenhower@warephase.com,1,solar-electric,,99
ajacobos@gogozoom.com,1,wind,51,58
ajacobos@gogozoom.com,2,solar-electric,,31
ajacobos@kan-code.com,1,solar-electric,18,72
ajayson@newex.com,1,wind,17,96
ajillson@rantouch.com,1,solar-electric,44,15
ajulia@zathunicon.com,1,solar-electric,,138
akampa@plusstrip.com,1,wind,32,63
akardas@green-plus.com,1,solar-electric,35,61
akarpin@faxquote.com,1,wind,12,132
akarpin@singletechno.com,1,solar-electric,15,70
aketelsen@ontomedia.com,1,wind,30,49
aketelsen@xx-holding.com,1,solar-electric,,35
akippley@stanredtax.com,1,solar-electric,19,111
akitty@zathunicon.com,1,solar-electric,,63
aklang@newex.com,1,solar-electric,,17
akorando@finjob.com,1,solar-electric,105,183
akorando@goodsilron.com,1,wind,21,43
akorando@goodsilron.com,2,solar-electric,22,39
akownacki@green-plus.com,1,solar-electric,33,108
alabreche@silis.com,1,solar-electric,,105
alace@xx-holding.com,1,solar-electric,,133
alatzke@faxquote.com,1,solar-electric,,198
alayous@dontechi.com,1,solar-electric,,97
alayous@statholdings.com,1,solar-electric,18,117
aleinenbach@green-plus.com,1,solar-electric,25,150
alietz@j-texon.com,1,solar-electric,58,65
aloader@scottech.com,1,solar-electric,,92
aloder@rundofase.com,1,solar-electric,37,82
alother@doncon.com,1,wind,33,131
alungren@opentech.com,1,solar-electric,38,53
amaillard@bioholding.com,1,solar-electric,26,15
amarrier@hatfan.com,1,wind,38,153
amarrier@zoomit.com,1,solar-electric,,159
amarrier@zoomit.com,2,solar-electric,42,73
amatuszak@dalttechnology.com,1,solar-electric,,19
amatuszak@dalttechnology.com,2,solar-electric,44,108
amaybury@rundofase.com,1,solar-electric,48,130
amaynerich@bioholding.com,1,wind,,134
amaynerich@treequote.com,1,wind,26,89
ameteer@betatech.com,1,solar-electric,12,33
amiceli@funholding.com,1,solar-electric,13,60
amirafuentes@finhigh.com,1,solar-electric,17,39
amiro@groovestreet.com,1,solar-electric,27,94
amodzelewski@yearin.com,1,solar-electric,41,82
amondella@sumace.com,1,solar-electric,,129
amondella@zathunicon.com,1,wind,12,88
amonterrubio@domzoom.com,1,solar-electric,,150
amonterrubio@dontechi.com,1,solar-electric,12,32
amugnolo@j-texon.com,1,solar-electric,30,69
amugnolo@j-texon.com,2,wind,19,95
amulqueen@silis.com,1,solar-electric,19,84
amyricks@konmatfix.com,1,solar-electric,11,101
anabours@bioholding.com,1,solar-electric,15,61
anewville@sunnamplex.com,1,solar-electric,44,96
aoles@blackzim.com,1,solar-electric,35,186
aonofrio@conecom.com,1,solar-electric,18,97
aostolaza@iselectrics.com,1,solar-electric,39,17
aostolaza@iselectrics.com,2,solar-electric,17,25
apadilla@iselectrics.com,1,solar-electric,27,49
apagliuca@xx-zobam.com,1,solar-electric,21,182
apedrozo@silis.com,1,solar-electric,42,67
aperez@sonron.com,1,solar-electric,39,59
apoquette@faxquote.com,1,solar-electric,88,163
apoquette@goodsilron.com,1,solar-electric,28,43
aradde@plussunin.com,1,solar-electric,,105
aradde@scottech.com,1,solar-electric,,76
arantanen@golddex.com,1,solar-electric,13,85
arauser@fasehatice.com,1,wind,16,86
araymo@funholding.com,1,wind,,82
araymo@rundofase.com,1,solar-electric,28,104
areiber@scottech.com,1,wind,11,20
arhoden@zathunicon.com,1,solar-electric,45,48
ariden@hatfan.com,1,solar-electric,,15
ariopelle@mathtouch.com,1,wind,34,19
ariopelle@mathtouch.com,2,solar-electric,14,43
arochin@toughzap.com,1,solar-electric,33,55
arodefer@sumace.com,1,solar-electric,10,30
arodeigues@codehow.com,1,solar-electric,15,76
arowling@stanredtax.com,1,solar-electric,30,32
arowling@stanredtax.com,2,solar-electric,30,62
aryser@groovestreet.com,1,solar-electric,,121
asama@zoomit.com,1,solar-electric,,129
asawchuk@hottechi.com,1,solar-electric,,90
asaylors@rantouch.com,1,solar-electric,27,80
asaylors@sunnamplex.com,1,solar-electric,,125
asaylors@sunnamplex.com,2,solar-electric,22,46
asaylors@zumgoity.com,1,wind,64,65
ascheyer@ron-tech.com,1,solar-electric,43,88
ascheyer@ron-tech.com,2,solar-electric,19,24
aschieler@ron-tech.com,1,wind,35,29
aschmaltz@scotfind.com,1,solar-electric,16,65
aschnitzler@fasehatice.com,1,solar-electric,,29
aschoeneck@finjob.com,1,solar-electric,18,21
aschoeneck@scottech.com,1,solar-electric,37,51
aschoeneck@scottech.com,2,solar-electric,35,18
aseewald@conecom.com,1,solar-electric,50,21
asengbusch@fasehatice.com,1,solar-electric,40,100
asergi@stanredtax.com,1,solar-electric,18,16
asilvestrini@sunnamplex.com,1,solar-electric,17,143
asilvestrini@sunnamplex.com,2,solar-electric,31,123
asimilton@dontechi.com,1,solar-electric,58,175
askulski@ontomedia.com,1,solar-electric,,36
aspickerman@labdrill.com,1,solar-electric,17,39
astem@toughzap.com,1,solar-electric,81,239
astenseth@ontomedia.com,1,solar-electric,15,64
astimmel@bioholding.com,1,solar-electric,50,64
astoltzman@blackzim.com,1,solar-electric,22,26
astoltzman@zotware.com,1,solar-electric,88,23
asweigard@fasehatice.com,1,solar-electric,,64
atheodorov@fasehatice.com,1,wind,15,87
atolfree@plexzap.com,1,solar-electric,25,127
atreston@condax.com,1,solar-electric,,170
atromblay@xx-holding.com,1,solar-electric,12,40
aturinetti@j-texon.com,1,solar-electric,,20
auyetake@toughzap.com,1,solar-electric,,23
auyetake@toughzap.com,2,solar-electric,,63
avanausdal@streethex.com,1,wind,17,68
avanheusen@cancity.com,1,solar-electric,23,39
avanheusen@finjob.com,1,solar-electric,47,111
avizarro@bioholding.com,1,solar-electric,,136
avizarro@ganjaflex.com,1,solar-electric,25,67
awardrip@golddex.com,1,solar-electric,,39
aweglarz@warephase.com,1,solar-electric,79,86
awhobrey@zathunicon.com,1,solar-electric,94,16
