Email,Appliance_order_num,seasonal_efficiency_ratio,heat_performance_factor
aacey@rundofase.com,1,44,18.7
aacuff@rantouch.com,1,44.9,20.4
aacuff@rantouch.com,3,58.5,17
aalbares@cancity.com,1,48.5,23.4
aaquas@bioholding.com,1,39.6,17.5
aarceo@fasehatice.com,1,30.9,25
aarceo@zoomit.com,2,36.3,22.4
aaredondo@plexzap.com,1,41.1,22.1
aaredondo@plexzap.com,4,34.6,21.3
aarias@singletechno.com,2,62.6,22.4
aasar@fasehatice.com,4,49.7,22.4
aasar@fasehatice.com,5,43.3,23.2
aasar@fasehatice.com,6,54.7,23.1
aauber@cancity.com,2,44,21.8
aauffrey@golddex.com,1,30.5,21
aauffrey@kinnamplus.com,1,49.6,26.3
aauffrey@rundofase.com,1,44.9,19.4
abarfield@finjob.com,3,31.6,22.8
abarfield@finjob.com,5,54.4,22.3
abarfield@finjob.com,6,50.8,26.2
abayless@faxquote.com,3,52.2,18.1
abennick@labdrill.com,3,36,18.8
abevelacqua@zencorporation.com,1,31,19.3
abevelacqua@zencorporation.com,3,31.7,14.9
abiddy@bioholding.com,4,47.5,20.7
abilden@labdrill.com,1,28.7,21.5
abilden@labdrill.com,3,38,19.1
abilden@labdrill.com,4,53.6,22.4
aboord@dambase.com,1,43.4,25.3
aborgman@konex.com,1,28.9,20.8
aborgman@konex.com,2,43.5,21.9
abowley@zoomit.com,1,52.5,21.7
abrachle@finjob.com,3,62.2,16.8
abrideau@streethex.com,2,44,28.7
abrideau@streethex.com,5,42.8,26.2
abrucato@plussunin.com,2,40.6,27.1
abruschke@dambase.com,1,47.2,16.7
abruschke@plusstrip.com,2,45.6,25.7
abruschke@plusstrip.com,3,45,28.9
abruschke@plusstrip.com,4,47.9,21.7
abruschke@plusstrip.com,7,46.6,21.6
abuvens@plusstrip.com,3,44.2,21.2
acaiafa@nam-zim.com,3,39.1,24.1
acaiafa@nam-zim.com,4,44.1,27.7
acalvaresi@nam-zim.com,2,48.8,22.5
acalvaresi@nam-zim.com,5,35.5,12.7
acalvaresi@ontomedia.com,3,39.9,24.6
acalvaresi@ontomedia.com,5,34,24
acalvaresi@ontomedia.com,6,38.5,26.4
acantres@dontechi.com,3,48.9,20.5
acantres@dontechi.com,4,52.5,19.6
acantres@sonron.com,2,55.7,21
achavous@groovestreet.com,2,40.1,26.6
achavous@xx-holding.com,1,52.7,21.2
achavous@xx-holding.com,3,61.8,22.1
achickering@rundofase.com,2,59.7,18.4
acoody@bioplex.com,3,40.2,28.1
acoody@finjob.com,3,33,24.2
acoody@finjob.com,4,41.1,23.7
acork@doncon.com,1,51.3,25.7
acork@doncon.com,2,25.3,20.4
acoyier@y-corporation.com,4,34.5,32.1
adallen@finjob.com,2,26.1,27.1
adallen@finjob.com,6,33.2,15.5
adarakjy@plusstrip.com,1,33.3,21.7
adaufeldt@singletechno.com,3,43,20
adegonia@bioholding.com,2,50.1,16.7
adegonia@bioholding.com,3,47.6,20.8
adegonia@bioholding.com,6,53.8,28.5
adegonia@bioholding.com,7,47.6,21.3
adegroot@isdom.com,1,42.8,24.6
adegroot@isdom.com,2,44,24.3
ademesa@bioholding.com,2,48.8,27.4
adickerson@blackzim.com,1,22,21.2
adinos@rundofase.com,1,49,22.7
adiscipio@iselectrics.com,1,43.7,26.8
aeanes@fasehatice.com,1,40,29.1
aehmann@mathtouch.com,5,56.1,19.4
aehmann@mathtouch.com,6,39.5,24.1
aengelberg@scottech.com,1,30,22
aestell@zathunicon.com,1,48,24.3
afallick@kinnamplus.com,2,31.3,19.9
afarrar@donquadtech.com,2,13.2,17.9
afarrar@donquadtech.com,7,39.2,26.3
afarrar@green-plus.com,1,47.1,22.9
afarrar@green-plus.com,2,29.5,25.5
afarrar@kan-code.com,4,32.7,22.7
afarrar@kan-code.com,5,33.1,19.5
afarrow@streethex.com,1,50.9,16
afeichtner@konex.com,4,47.1,22.7
afelger@doncon.com,2,74.5,22.2
afelger@doncon.com,3,53,13.8
afritz@funholding.com,1,38.9,18.4
agato@hatfan.com,4,41.9,12.9
agato@hatfan.com,6,51.2,19.7
agato@hatfan.com,8,30.2,22.3
agato@hatfan.com,9,48.6,26.9
agato@hatfan.com,10,46.9,21.6
agato@ontomedia.com,1,62.8,27
agato@ontomedia.com,6,56,15.6
agellinger@condax.com,1,56.3,16
agellinger@condax.com,4,51.8,21.4
agellinger@finhigh.com,3,44.4,17
agesick@rantouch.com,1,30.3,20
agesick@rantouch.com,2,28.3,20.6
agillaspie@finhigh.com,2,43.5,23.4
agillaspie@finhigh.com,3,42.8,26.6
agillian@ron-tech.com,1,49.1,22
agillian@ron-tech.com,4,40.4,23.1
agleich@finjob.com,2,38.1,19.9
aglick@treequote.com,2,52.6,14.3
aglick@treequote.com,4,35.8,20
aglick@treequote.com,7,41.8,27
agochal@blackzim.com,2,38.4,20.3
agochal@toughzap.com,2,33.7,25.3
agochal@toughzap.com,3,37.3,27.8
agotter@isdom.com,4,35.5,20.4
agrenet@yearin.com,1,45.7,28.5
ahagele@dontechi.com,1,53,20
ahalsey@plussunin.com,2,37.4,26.1
ahalsey@plussunin.com,3,41.5,23.4
ahalter@sunnamplex.com,3,30.6,28.1
ahamilton@cancity.com,3,42.9,15.2
aharabedian@inity.com,1,49,19.2
aharabedian@inity.com,2,35.2,20.3
aharabedian@inity.com,3,55.4,28.8
aharnos@bioholding.com,1,40.2,26.3
ahengel@groovestreet.com,1,49.2,19.3
ahochard@hottechi.com,3,42.5,22.9
ahoffis@kan-code.com,1,38.2,27
ahoogland@zencorporation.com,2,47.9,22
ahoogland@zencorporation.com,3,38.9,17.3
ahoogland@zencorporation.com,4,54.5,22.7
ahoopengardner@iselectrics.com,3,33.7,31.2
ahoopengardner@kan-code.com,3,41.5,18.1
ahoopengardner@kan-code.com,5,37.9,20.5
ahoopengardner@kan-code.com,6,35.8,15.5
ahoopengardner@zotware.com,1,32.9,28.3
ahoopengardner@zumgoity.com,2,35.5,20.5
ahoopengardner@zumgoity.com,4,42.5,22.4
ahusser@toughzap.com,1,49.3,19.7
aisenhower@warephase.com,2,49.5,21.1
ajacobos@kan-code.com,2,36,25.4
ajeanty@gogozoom.com,1,53.1,18.8
ajeanty@gogozoom.com,3,38.4,25.7
ajeanty@zoomit.com,3,35.9,22.8
ajurney@silis.com,3,43,23.3
ajurney@silis.com,4,33.4,15.4
akaniecki@zathunicon.com,2,39.1,21.5
akaniecki@zathunicon.com,3,48.4,16.3
akardas@green-plus.com,1,32.2,24.4
akardas@green-plus.com,2,53.1,19
akarpin@faxquote.com,1,58.2,17.5
akarpin@faxquote.com,2,48.4,22.3
akarpin@faxquote.com,3,46.7,16.9
akarpin@singletechno.com,2,73.4,19.2
akarpin@singletechno.com,6,42.9,27.9
akarpin@singletechno.com,7,40.3,22.1
akeneipp@bioholding.com,1,28.7,23.4
akeneipp@bioholding.com,2,52.5,21.2
akeneipp@bioholding.com,3,40.2,21.8
aketelsen@ontomedia.com,1,37.7,27.8
aketelsen@ontomedia.com,2,33.1,23.8
aketelsen@ontomedia.com,3,46.2,27.9
akines@labdrill.com,2,50.3,25.5
akines@labdrill.com,3,34.1,22.4
akitty@fasehatice.com,1,43.8,22.3
akitty@zathunicon.com,1,44.6,24.8
akitty@zathunicon.com,2,44.3,18.2
akitty@zathunicon.com,4,39.8,23.8
aklimek@sonron.com,2,49.7,30.7
aklimek@sonron.com,3,37.9,19
aklonowski@donquadtech.com,1,40,25
aklonowski@donquadtech.com,2,25.1,17.1
aklonowski@donquadtech.com,3,61.2,19
akohl@hottechi.com,2,45,22.3
akolmetz@kinnamplus.com,1,44.4,21.9
akonopacki@golddex.com,1,34.8,20.4
akorando@doncon.com,2,28.7,22.9
akorando@finjob.com,2,53,24.5
akorando@finjob.com,4,51.4,16.4
akulzer@scotfind.com,1,44.7,17.7
alace@xx-holding.com,1,54.4,19.1
alace@xx-holding.com,3,35,15
alacovara@hatfan.com,1,30.9,22.4
alacovara@hatfan.com,2,48.9,22.2
alapage@ontomedia.com,2,48.4,26.4
alapage@ontomedia.com,4,38.3,25.8
alary@toughzap.com,1,34.8,24.3
alary@toughzap.com,4,34.2,21.9
alayous@dontechi.com,2,56.3,23.5
alayous@statholdings.com,3,40.9,23
aleinenbach@green-plus.com,1,27.9,25.8
aleinenbach@green-plus.com,2,50.3,23.4
aleinenbach@green-plus.com,3,29.9,20.4
alietz@j-texon.com,1,42.4,26.6
alietz@j-texon.com,3,55.1,23.1
alietz@j-texon.com,5,36.2,21.2
alietz@j-texon.com,6,30.8,26.4
alietz@j-texon.com,8,41.3,29.1
aliukko@hatfan.com,1,37.6,24.2
aliukko@hatfan.com,2,42.6,20.7
aloder@rundofase.com,3,44.1,20.3
alungren@faxquote.com,1,52,23.3
